Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,symmetric,0.31,0.42842708911511257
100% Corpus,5,symmetric,0.61,0.43822947041803423
100% Corpus,5,symmetric,0.9099999999999999,0.41391680757753313
100% Corpus,5,symmetric,symmetric,0.4326893316612573
100% Corpus,5,asymmetric,0.01,0.4448912438397429
100% Corpus,5,asymmetric,0.31,0.43382932879238006
100% Corpus,5,asymmetric,0.61,0.4242346618545735
100% Corpus,5,asymmetric,0.9099999999999999,0.40815615466096294
100% Corpus,5,asymmetric,symmetric,0.43401504088490733
100% Corpus,6,0.01,0.01,0.4414679745075183
100% Corpus,6,0.01,0.31,0.41511390904875495
100% Corpus,6,0.01,0.61,0.42591443453438155
100% Corpus,6,0.01,0.9099999999999999,0.4261840281266264
100% Corpus,6,0.01,symmetric,0.4190777803924826
100% Corpus,6,0.31,0.01,0.45335608261627786
100% Corpus,6,0.31,0.31,0.4151893265993866
100% Corpus,6,0.31,0.61,0.43519550857657757
100% Corpus,6,0.31,0.9099999999999999,0.4245887321897672
100% Corpus,6,0.31,symmetric,0.4297786032302631
100% Corpus,6,0.61,0.01,0.4519617355978487
100% Corpus,6,0.61,0.31,0.4420360386859872
100% Corpus,6,0.61,0.61,0.45248186975593435
100% Corpus,6,0.61,0.9099999999999999,0.423225357502477
100% Corpus,6,0.61,symmetric,0.4505773123806667
100% Corpus,6,0.9099999999999999,0.01,0.4594920359000223
100% Corpus,6,0.9099999999999999,0.31,0.4535143397693819
100% Corpus,6,0.9099999999999999,0.61,0.4415743246500665
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4300754529058513
100% Corpus,6,0.9099999999999999,symmetric,0.4513717818808611
100% Corpus,6,symmetric,0.01,0.45038359316336685
100% Corpus,6,symmetric,0.31,0.42126040027910294
100% Corpus,6,symmetric,0.61,0.4366629586002249
100% Corpus,6,symmetric,0.9099999999999999,0.415104898713071
100% Corpus,6,symmetric,symmetric,0.4246629787439317
100% Corpus,6,asymmetric,0.01,0.44850018287013116
100% Corpus,6,asymmetric,0.31,0.4145350063490443
100% Corpus,6,asymmetric,0.61,0.4373065550872295
100% Corpus,6,asymmetric,0.9099999999999999,0.4715436851084039
100% Corpus,6,asymmetric,symmetric,0.44165767497349884
100% Corpus,7,0.01,0.01,0.4249582972479525
100% Corpus,7,0.01,0.31,0.423539848134883
100% Corpus,7,0.01,0.61,0.43297318382045885
100% Corpus,7,0.01,0.9099999999999999,0.48570763053811483
100% Corpus,7,0.01,symmetric,0.43478148116586507
100% Corpus,7,0.31,0.01,0.43620260658574267
100% Corpus,7,0.31,0.31,0.4155444227594557
100% Corpus,7,0.31,0.61,0.4359647415009168
100% Corpus,7,0.31,0.9099999999999999,0.44881988375390247
100% Corpus,7,0.31,symmetric,0.42610442926361003
100% Corpus,7,0.61,0.01,0.44636579342335286
100% Corpus,7,0.61,0.31,0.43987280262812456
100% Corpus,7,0.61,0.61,0.4308330359835071
100% Corpus,7,0.61,0.9099999999999999,0.4471276080858237
100% Corpus,7,0.61,symmetric,0.43692359838922495
100% Corpus,7,0.9099999999999999,0.01,0.4537781563149215
100% Corpus,7,0.9099999999999999,0.31,0.45338094363453507
100% Corpus,7,0.9099999999999999,0.61,0.4342350362917346
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4721282192408293
100% Corpus,7,0.9099999999999999,symmetric,0.45369563031116433
100% Corpus,7,symmetric,0.01,0.4222673344334494
100% Corpus,7,symmetric,0.31,0.4222602595827239
100% Corpus,7,symmetric,0.61,0.43253292251570213
100% Corpus,7,symmetric,0.9099999999999999,0.46134281148234607
100% Corpus,7,symmetric,symmetric,0.4341611726462319
100% Corpus,7,asymmetric,0.01,0.43856081369861183
100% Corpus,7,asymmetric,0.31,0.43477452288311497
100% Corpus,7,asymmetric,0.61,0.4473838050572804
100% Corpus,7,asymmetric,0.9099999999999999,0.4365426124766988
100% Corpus,7,asymmetric,symmetric,0.4185317650705704
100% Corpus,8,0.01,0.01,0.449218666351621
100% Corpus,8,0.01,0.31,0.4357908300355827
100% Corpus,8,0.01,0.61,0.4448928526061845
100% Corpus,8,0.01,0.9099999999999999,0.47654603120266814
100% Corpus,8,0.01,symmetric,0.4166187270908912
100% Corpus,8,0.31,0.01,0.4448177401765576
100% Corpus,8,0.31,0.31,0.4067981555666453
100% Corpus,8,0.31,0.61,0.45438985244391705
100% Corpus,8,0.31,0.9099999999999999,0.44547677284098863
100% Corpus,8,0.31,symmetric,0.4370931877786838
100% Corpus,8,0.61,0.01,0.4579809459859606
100% Corpus,8,0.61,0.31,0.4449330138493486
100% Corpus,8,0.61,0.61,0.4799161648840091
100% Corpus,8,0.61,0.9099999999999999,0.4264781922143135
100% Corpus,8,0.61,symmetric,0.4683309487622829
100% Corpus,8,0.9099999999999999,0.01,0.4726401902789007
100% Corpus,8,0.9099999999999999,0.31,0.45935614043083595
100% Corpus,8,0.9099999999999999,0.61,0.4455057821711314
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4504663865777433
100% Corpus,8,0.9099999999999999,symmetric,0.46517335676287497
100% Corpus,8,symmetric,0.01,0.4148973045259977
100% Corpus,8,symmetric,0.31,0.43295226665020947
100% Corpus,8,symmetric,0.61,0.45021685905734643
100% Corpus,8,symmetric,0.9099999999999999,0.47203330584706427
100% Corpus,8,symmetric,symmetric,0.4370983347592476
100% Corpus,8,asymmetric,0.01,0.4351774486206318
100% Corpus,8,asymmetric,0.31,0.43839469554240285
100% Corpus,8,asymmetric,0.61,0.4767839341507351
100% Corpus,8,asymmetric,0.9099999999999999,0.40432176959028954
100% Corpus,8,asymmetric,symmetric,0.46372977019191974
100% Corpus,9,0.01,0.01,0.44718117562188653
100% Corpus,9,0.01,0.31,0.46894793327458106
100% Corpus,9,0.01,0.61,0.47381825976714836
100% Corpus,9,0.01,0.9099999999999999,0.45319699703247857
100% Corpus,9,0.01,symmetric,0.4588084892881244
100% Corpus,9,0.31,0.01,0.4673646124649485
100% Corpus,9,0.31,0.31,0.45417126771149796
